mal_id,title,score,genre_list,studios,episodes,source,season,year,type,rating
25,Sunabouzu,7.36,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",['Gonzo'],24,Manga,Fall,2004,TV,R - 17+ (violence & profanity)
26,Texhnolyze,7.75,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",['Madhouse'],22,Original,Spring,2003,TV,R+ - Mild Nudity
27,Trinity Blood,7.28,"['Action', 'Fantasy', 'Sci-Fi']",['Gonzo'],24,Light novel,Spring,2005,TV,R - 17+ (violence & profanity)
28,Yakitate!! Japan,7.91,"['Comedy', 'Gourmet']",['Sunrise'],69,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
29,Zipang,7.49,"['Action', 'Drama', 'Sci-Fi']",['Studio Deen'],26,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
30,Shinseiki Evangelion,8.36,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Gainax', 'Tatsunoko Production']",26,Original,Fall,1995,TV,PG-13 - Teens 13 or older
31,Shinseiki Evangelion Movie: Shi to Shinsei,7.49,"['Action', 'Drama', 'Sci-Fi', 'Suspense']","['Gainax', 'Production I.G', 'Tatsunoko Production']",1,Original,,1997,Movie,R - 17+ (violence & profanity)
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']","['Gainax', 'Production I.G']",1,Original,,1997,Movie,R+ - Mild Nudity
33,Kenpuu Denki Berserk,8.6,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",['OLM'],25,Manga,Fall,1997,TV,R+ - Mild Nudity
43,Koukaku Kidoutai,8.27,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",['Production I.G'],1,Manga,,1995,Movie,R+ - Mild Nudity
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,"['Action', 'Drama', 'Romance']",['Studio Deen'],4,Manga,,1999,OVA,R - 17+ (violence & profanity)
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,"['Action', 'Comedy', 'Romance']","['Gallop', 'Studio Deen']",94,Manga,Winter,1996,TV,PG-13 - Teens 13 or older
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,['Drama'],['Gallop'],1,Manga,,1997,Movie,R - 17+ (violence & profanity)
47,Akira,8.16,"['Action', 'Horror', 'Sci-Fi']",['Tokyo Movie Shinsha'],1,Manga,,1988,Movie,R+ - Mild Nudity
48,.hack//Sign,6.94,"['Adventure', 'Fantasy', 'Mystery']",['Bee Train'],26,Original,Spring,2002,TV,PG-13 - Teens 13 or older
49,Aa! Megami-sama!,7.28,"['Comedy', 'Romance', 'Supernatural']",['AIC'],5,Manga,,1993,OVA,PG-13 - Teens 13 or older
50,Aa! Megami-sama! (TV),7.31,"['Comedy', 'Romance', 'Supernatural']",['AIC'],24,Manga,Winter,2005,TV,PG-13 - Teens 13 or older
51,Tenshi Kinryouku,6.24,"['Action', 'Drama', 'Romance', 'Supernatural']",['HAL Film Maker'],3,Manga,,2000,OVA,R+ - Mild Nudity
52,Kidou Tenshi Angelic Layer,7.26,"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",['Bones'],26,Manga,Spring,2001,TV,PG-13 - Teens 13 or older
53,Ai Yori Aoshi,7.1,"['Comedy', 'Drama', 'Romance']",['J.C.Staff'],24,Manga,Spring,2002,TV,PG-13 - Teens 13 or older
54,Appleseed (Movie),7.05,"['Action', 'Sci-Fi']",['Digital Frontier'],1,Manga,,2004,Movie,R - 17+ (violence & profanity)
55,Arc the Lad,6.48,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",['Bee Train'],26,Game,Spring,1999,TV,R - 17+ (violence & profanity)
56,Avenger,5.85,"['Adventure', 'Fantasy', 'Sci-Fi']",['Bee Train'],13,Original,Fall,2003,TV,R - 17+ (violence & profanity)
57,Beck,8.29,['Drama'],['Madhouse'],26,Manga,Fall,2004,TV,R - 17+ (violence & profanity)
58,Blue Gender,7.01,"['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi']",['AIC'],26,Original,Fall,1999,TV,R+ - Mild Nudity
59,Chobits,7.39,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",['Madhouse'],26,Manga,Spring,2002,TV,PG-13 - Teens 13 or older
60,Chrno Crusade,7.6,"['Action', 'Romance', 'Supernatural']",['Gonzo'],24,Manga,Fall,2003,TV,R - 17+ (violence & profanity)
61,D.N.Angel,7.15,"['Action', 'Comedy', 'Fantasy', 'Romance']",['Xebec'],26,Manga,Spring,2003,TV,PG-13 - Teens 13 or older
62,D.C.: Da Capo,6.7,"['Drama', 'Romance']","['feel.', 'Zexcs']",26,Visual novel,Summer,2003,TV,PG-13 - Teens 13 or older
63,DearS,6.54,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",['Daume'],12,Manga,Summer,2004,TV,R+ - Mild Nudity
